id,type,image_url,parent_id
1,Наддомен,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/PTRS168_0611.png/275px-PTRS168_0611.png,null
2,(Парафилетическая группа),https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Diversidad_procariota.PNG/265px-Diversidad_procariota.PNG,1
3,Домен,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Endomembrane_system_diagram_ru.svg/350px-Endomembrane_system_diagram_ru.svg.png,1
4,Домен,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/EscherichiaColi_NIAID.jpg/275px-EscherichiaColi_NIAID.jpg,2
5,Домен,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Halobacteria.jpg/275px-Halobacteria.jpg,2
6,Группа,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Protist_collage.jpg/275px-Protist_collage.jpg,3
7,Царство,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Fungi_Diversity.jpg/275px-Fungi_Diversity.jpg,3
8,Царство,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Diversity_of_plants_image_version_5.png/269px-Diversity_of_plants_image_version_5.png,3
9,Царство,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Animal_diversity.png/273px-Animal_diversity.png,3
10,Царство,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Chromista_collage_2.jpg/275px-Chromista_collage_2.jpg,3
